id,name,extracted_category,product_text,cluster
AV2ElNnuvKc47QAVouhY,AmazonBasics Silicone Hot Handle Cover/Holder - Red,Cookware Accessories Linens & Textiles Kitchen & Dining,AmazonBasics Silicone Hot Handle Cover/Holder - Red Cookware Accessories Linens & Textiles Kitchen & Dining,2
AVpe5Q3sLJeJML43xt5X,AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches),Top Selection from AmazonPets Cages & Crates Crates & Kennels,AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches) Top Selection from AmazonPets Cages & Crates Crates & Kennels,2
AVpe6nyKLJeJML43yOe2,AmazonBasics 11.6-Inch Laptop Sleeve,Laptop Accessories Electronics computers,AmazonBasics 11.6-Inch Laptop Sleeve Laptop Accessories Electronics computers,2
AVpe7JuRilAPnD_xQ_M6,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable,Chargers & Sync Cables Digital Device Accessory Power Adapters,Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable Chargers & Sync Cables Digital Device Accessory Power Adapters,2
AVpe7xlELJeJML43ypLz,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,Health Household & Baby Care Health Personal Care,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary Health Household & Baby Care Health Personal Care,2
AVpe9CMS1cnluZ0-aoC5,"Amazon Kindle Lighted Leather Cover,,,
Amazon Kindle Lighted Leather Cover,,,",Kindle E-Reader Accessories Kindle (5th Generation) Accessories Kindle (5th Generation) Covers,"Amazon Kindle Lighted Leather Cover,,,
Amazon Kindle Lighted Leather Cover,,, Kindle E-Reader Accessories Kindle (5th Generation) Accessories Kindle (5th Generation) Covers",2
AVpf2cQm1cnluZ0-sb5y,Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only,Abis Electronics Tablet Accessories Power Adapters,Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only Abis Electronics Tablet Accessories Power Adapters,2
AVpf68A5ilAPnD_xkjSq,AmazonBasics Backpack for Laptops up to 17-inches,Laptop Accessories Electronics Backpacks,AmazonBasics Backpack for Laptops up to 17-inches Laptop Accessories Electronics Backpacks,2
AVpfBEWcilAPnD_xTGb7,"Kindle Keyboard,,,
Kindle Keyboard,,,",Kindle Store Amazon Devices Electronics,"Kindle Keyboard,,,
Kindle Keyboard,,, Kindle Store Amazon Devices Electronics",2
AVpfIfGA1cnluZ0-emyp,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Fire (5th Generation) Accessories Amazon Devices Cables & Chargers,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders Fire (5th Generation) Accessories Amazon Devices Cables & Chargers,2
AVpfTWGdLJeJML436ocu,AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches),Pet Products Cages & Crates See more AmazonBasics Double Door Folding Metal Dog Cra...,AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches) Pet Products Cages & Crates See more AmazonBasics Double Door Folding Metal Dog Cra...,2
AVpfhcniLJeJML43-t4G,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size,Expanding Wallets Filing & Organizers Expanding File Jackets & Pockets,Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size Expanding Wallets Filing & Organizers Expanding File Jackets & Pockets,2
AVpflnS7ilAPnD_xehxE,AmazonBasics 15.6-Inch Laptop and Tablet Bag,Cases computers Backpacks,AmazonBasics 15.6-Inch Laptop and Tablet Bag Cases computers Backpacks,2
AVpfv-vJilAPnD_xhk-O,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord,See more Amazon Kindle Fire 5-Feet Micro USB Cable - Wh... Power Adapters Cables Chargers & Sync Cables,Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord See more Amazon Kindle Fire 5-Feet Micro USB Cable - Wh... Power Adapters Cables Chargers & Sync Cables,2
AVpfzuRNilAPnD_xipqB,AmazonBasics External Hard Drive Case,Laptop & Desktop Accessories Hard Drive Bags & Cases Carrying Case Or Bag,AmazonBasics External Hard Drive Case Laptop & Desktop Accessories Hard Drive Bags & Cases Carrying Case Or Bag,2
AVpgEm3DLJeJML43Id7b,AmazonBasics 16-Gauge Speaker Wire - 100 Feet,Power & Speaker Wire Accessories & Supplies Vehicle Electronics & GPS,AmazonBasics 16-Gauge Speaker Wire - 100 Feet Power & Speaker Wire Accessories & Supplies Vehicle Electronics & GPS,2
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),Health Household & Baby Care Health Personal Care,AmazonBasics AAA Performance Alkaline Batteries (36 Count) Health Household & Baby Care Health Personal Care,2
AVpgjNRkilAPnD_xuALS,AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters),Electronics Cables Cables & Interconnects,AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters) Electronics Cables Cables & Interconnects,2
AVpgyLH7ilAPnD_xxQ07,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries),Power Adapters Cables Amazon Devices Chargers Adapters,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries) Power Adapters Cables Amazon Devices Chargers Adapters,2
AVphC37X1cnluZ0-9mbp,AmazonBasics Ventilated Adjustable Laptop Stand,Laptop & Desktop Accessories Laptop Cases & Bags Notebook Computer Stands,AmazonBasics Ventilated Adjustable Laptop Stand Laptop & Desktop Accessories Laptop Cases & Bags Notebook Computer Stands,2
AVpiGyzGLJeJML43iUdJ,AmazonBasics Bluetooth Keyboard for Android Devices - Black,Mice & Accessories Tablet Accessories 14701001,AmazonBasics Bluetooth Keyboard for Android Devices - Black Mice & Accessories Tablet Accessories 14701001,2
AVpiZQ8r1cnluZ0-M3MN,AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity,Coffee Pod Holders Kitchen Dining Features Storage & Organization,AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity Coffee Pod Holders Kitchen Dining Features Storage & Organization,2
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle Fire Hd (3rd Generation) 8gb,,,
Amazon Kindle Fire Hd (3rd Generation) 8gb,,,",iPads Tablets Kindle E-readers Electronics Features,"Amazon Kindle Fire Hd (3rd Generation) 8gb,,,
Amazon Kindle Fire Hd (3rd Generation) 8gb,,, iPads Tablets Kindle E-readers Electronics Features",2
AVsRjfwAU2_QcyX9PHqe,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",Kindle Store Kindle E-Reader Accessories Kindle Paperwhite Accessories,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,, Kindle Store Kindle E-Reader Accessories Kindle Paperwhite Accessories",2
AVzvV7FHglJLPUi8GzhD,"Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23""",Dog Supplies Pet Products Top Selection from AmazonPets,"Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23"" Dog Supplies Pet Products Top Selection from AmazonPets",2
AWdDioCIHh53nbDRScLV,Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet,Pet Supplies Top Cat Supplies Pet Products,Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet Pet Supplies Top Cat Supplies Pet Products,2
