id,name,extracted_category,product_text,cluster
AV-XeQLWuC1rwyj_gbP5,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Amazon Devices Amazon See more Amazon Fire TV with Alexa Voice Remote Digital...,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player Amazon Devices Amazon See more Amazon Fire TV with Alexa Voice Remote Digital...,0
AV1YnR7wglJLPUi8IJmi,"Echo (White),,,
Echo (White),,,",All Tablets Computers/Tablets & Networking Tablets & eBook Readers,"Echo (White),,,
Echo (White),,, All Tablets Computers/Tablets & Networking Tablets & eBook Readers",0
AVpe7nGV1cnluZ0-aG2o,AmazonBasics Nylon CD/DVD Binder (400 Capacity),Blank Audio/Video Media Accessories & Supplies all electronics,AmazonBasics Nylon CD/DVD Binder (400 Capacity) Blank Audio/Video Media Accessories & Supplies all electronics,0
AVpfl8cLLJeJML43AE3S,"Echo (White),,,
Echo (White),,,",Amazon Devices Audio Holiday Shop,"Echo (White),,,
Echo (White),,, Amazon Devices Audio Holiday Shop",0
AVpfpK8KLJeJML43BCuD,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Bluetooth Speakers MP3 Accessories All Bluetooth & Wireless Speakers,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker Bluetooth Speakers MP3 Accessories All Bluetooth & Wireless Speakers,0
AVpgdkC8ilAPnD_xsvyi,"Echo (White),,,
Echo (White),,,",Frys Computers & Tablets Tablets & eBook Readers,"Echo (White),,,
Echo (White),,, Frys Computers & Tablets Tablets & eBook Readers",0
AVpi6NtY1cnluZ0-RuRs,Amazon Fire TV Gaming Edition Streaming Media Player,Fire TV Home Audio Consoles,Amazon Fire TV Gaming Edition Streaming Media Player Fire TV Home Audio Consoles,0
AVzoFq6UvKc47QAVe9NB,Echo Dot (Previous generation),Amazon Home Voice-Enabled Smart Assistants Digital Device 3,Echo Dot (Previous generation) Amazon Home Voice-Enabled Smart Assistants Digital Device 3,0
AVzvXXXN-jtxr-f3z35Q,Amazon Echo (1st Generationcertified) Color:White Free Shipping,Amazon Voice-Enabled Smart Assistants Home Audio Speakers,Amazon Echo (1st Generationcertified) Color:White Free Shipping Amazon Voice-Enabled Smart Assistants Home Audio Speakers,0
AVzvXXwEvKc47QAVfRhx,"Echo (White),,,
Echo (White),,,",Categories Streaming Media Players Electronics,"Echo (White),,,
Echo (White),,, Categories Streaming Media Players Electronics",0
AWFFfd9KIwln0LfXiOe0,Fire TV Stick Streaming Media Player Pair Kit,Amazon Devices Amazon Holiday Shop,Fire TV Stick Streaming Media Player Pair Kit Amazon Devices Amazon Holiday Shop,0
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon Computer Speakers Voice-Enabled Smart Assistants,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen Amazon Computer Speakers Voice-Enabled Smart Assistants",0
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Voice Assistants Amazon Home Amazon,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen Voice Assistants Amazon Home Amazon",0
AWMjN1SSIwln0LfXmWs7,"All-new Echo (2nd Generation) with improved sound, powered by Dolby, and a new design Walnut Finish",Surveillance & Smart Home Electronics Amazon Home Audio Speakers,"All-new Echo (2nd Generation) with improved sound, powered by Dolby, and a new design Walnut Finish Surveillance & Smart Home Electronics Amazon Home Audio Speakers",0
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon Smart Hub & Kits Digital Device 3,Amazon - Echo Plus w/ Built-In Hub - Silver Amazon Smart Hub & Kits Digital Device 3,0
AWMjXUGdHh53nbDRJ9LA,Amazon Echo (2nd Generation) Smart Assistant Oak Finish Priority Shipping,Surveillance & Smart Home Electronics Amazon Home Audio Speakers,Amazon Echo (2nd Generation) Smart Assistant Oak Finish Priority Shipping Surveillance & Smart Home Electronics Amazon Home Audio Speakers,0
AWYAV-i9Iwln0LfXqrUq,Echo Spot Pair Kit (Black),Home & Outdoors Amazon Bluetooth Speakers,Echo Spot Pair Kit (Black) Home & Outdoors Amazon Bluetooth Speakers,0
AWdDlIX9Hh53nbDRSc-U,Certified Refurbished Amazon Echo,Amazon Home Surveillance & Smart Home Electronics Digital Device 3,Certified Refurbished Amazon Echo Amazon Home Surveillance & Smart Home Electronics Digital Device 3,0
